,Hasil-Stemming,sentiment,sentiment_score
0,February the people voted for Ganjar Mahfud to set the people's ideal,postif,0.9
1,Vote for anti-corruption pro-people Mahfud Indonesia,netral,0.0
2,february gray ballot papers vote for gajar mahfud's number afraid to vote for gajar scared to vote for mahfud,negatif,-0.6
3,Later I will remember how Milu's father fought,netral,0.0
4,live please millions of people in Semarang,postif,0.13636363636363635
5,I'm divided on whether the ganjar track record program is really good which one to choose,postif,0.7
6,ganjar the figure of a serious sergeant and relax when voting for the presidential election,negatif,-0.3333333333333333
7,get rid of rotten people who like to fight among the sheep of the nation,netral,0.0
8,Thank you for your friendship,netral,0.0
9,dumdum arek arek don't pol dablek rain and lightning strike the rain and the wind is very strong stay loyal to the people's party that is sono ngomah sidoarjo watch the rain is scary bro,postif,0.13222222222222224
10,North Sulawesi Indonesia conscience speaks,netral,0.0
11,I really like him remaining as a presidential candidate and a presidential candidate. He is complete in nature former campus activist active organ for years legislator for years like the governor he understands budget management.,postif,0.04166666666666668
12,bismillaahirrahmaanirrahiimi nawaitu to build the country,netral,0.0
13,sorry sorry,negatif,-0.5
14,world survey to see the real world,postif,0.2
15,echo wins north sulawesi indonesia,postif,0.3
16,at least million votes to support BTP faithfully to support Ganjar Mahfud,negatif,-0.3
17,North Sulawesi story of sending a winning message remote areas of Indonesia are afraid to vote for Mahfud's ganjar,negatif,-0.06666666666666665
18,Ganjar Pranowo's visit to Tomohon market on Thursday welcomed the enthusiasm of the trading community,netral,0.0
19,breast milk for tubal water for good for evil crazy vile behavior,negatif,-0.3
20,listen to the efforts of seniors,netral,0.0
21,Mahfud ganjar wins,postif,0.3
22,door but door is currently in Korwil Sumbar around Dikoto Road Tangah Kota Padang and is campaigning to ganjar the community,netral,0.0
23,Ganjar Mahfud commits greetings promises fingers obey God obey the law be loyal to the people,postif,0.3333333333333333
24,Smart people choose Ganjar Mahfud,postif,0.21428571428571427
25,lead the wife's support system the husband and family ning atikoh suddenly the light interpreter Ganjar live video Putra Mas Alam,postif,0.1787878787878788
26,Projo ganjars the TNI commander for his violent behavior which is prone to punishing Mahfud,negatif,-0.8
27,Back off the road you've sucked at using ting,netral,0.0
28,Indonesia's superior resolution supports Mahfud's ganjar never backs down wins Mahfud's ganjar,postif,0.28148148148148144
29,Indonesia excels in supporting Ganjar Mahfud never backing down winning Ganjar Mahfud,postif,0.19814814814814816
30,ri free meal program,postif,0.4
31,win the survey wait for the prostrate thanksgiving declaration,postif,0.8
32,Choose the wrong ulama Abuya Muhtadi supports Mahfud's presidential election God willing lead a prosperous Indonesia,negatif,-0.125
33,bungherwin jims alaya hw opa gaspol abah congratulations,netral,0.0
34,safe,postif,0.5
35,People who are really sick will continue if they are able to think sanely and support them when they suddenly tilt please understand. God for guidance,negatif,-0.07142857142857144
36,cool my good candidate,postif,0.5249999999999999
37,thia see whether it is a big win or a quiet win,postif,0.4
38,Farmer data helps with torch fertilizer until there is crop failure insurance this is a program to encourage interest among the general public just millennials please guys come on cheer up and support a superior Indonesia,postif,0.10833333333333331
39,The meeting between the male and female opponents Mas President talks about his power during the gaspool period. Let's be enthusiastic,postif,0.19999999999999998
40,Mum Ntt Gaspol punishes Mahfud,netral,0.0
41,overwhelmingly superior,postif,0.7
42,I'm confused choose mas alam oyen yes it's equally funny,negatif,-0.07500000000000001
43,gangs prone to presidential and vice presidential candidates Ganjar Pranowomahfud MD Boyolali TNI soldiers create excitement,netral,0.0
44,Jokowi is afraid that the post office will close when he sends it first,negatif,-0.175
45,mandom God willing hw,postif,0.25
46,Good afternoon God willing Bayu Wibowo Arifin or FFB,postif,0.475
47,Bears imported dead cassava plants at the food estate imported milk eating plates free spoons,postif,0.1
48,Mandom will sink God willing,postif,0.25
49,bahrawi imported dairy cows love school school students students directly drink fresh milk teach how to dispose of dirty cows how to idea sample samsul,postif,0.07499999999999998
50,Salut caring ganjar Indonesian farming community his program ganjar farming data help farmers develop their business,netral,0.0
